date,numFirstDose
07/12/2020,0
20/12/2020,663809.00
27/12/2020,985479.00
03/01/2021,1365129.00
10/01/2021,1959151.00
11/01/2021,2080280.00
12/01/2021,2254556.00
13/01/2021,2494371.00
14/01/2021,2769164.00
15/01/2021,3090058.00
16/01/2021,3365492.00
17/01/2021,3520056.00
18/01/2021,3687206.00
19/01/2021,3985579.00
20/01/2021,4303730.00
21/01/2021,4661293.00
22/01/2021,5085771.00
24/01/2021,5727693
25/01/2021,5962544
26/01/2021,6221850
27/01/2021,6473752	
28/01/2021,6816945
29/01/2021,7253305
30/01/2021,7792996
31/01/2021,8082355
01/02/2021,8362868
02/02/2021,8663041
03/02/2021,9041835	
04/02/2021,9430261
05/02/2021,9831897
06/02/2021,10290215
07/02/2021,10519729
08/02/2021,10771998
09/02/2021,11083652
10/02/2021,11422507
11/02/2021,11809241
12/02/2021,12246166
13/02/2021,12675663
14/02/2021,12862909
15/02/2021,13082669
16/02/2021,13395338
17/02/2021,13817914
18/02/2021,14214176
19/02/2021,14537978	
20/02/2021,14844087
21/02/2021,14958074	
22/02/2021,15113158	
23/02/2021,15398055	
24/02/2021,15794992
25/02/2021,16227104	

