item,value,coordinate_location
http://www.wikidata.org/entity/Q21487155,GB-SOS,Point(0.714722 51.536667)
http://www.wikidata.org/entity/Q100600441,98630,
http://www.wikidata.org/entity/Q234,BE-VLG,Point(4.5 51.0)
http://www.wikidata.org/entity/Q463,FR-V,Point(4.819447222 45.740186111)
http://www.wikidata.org/entity/Q585,NO-03,Point(10.752777777 59.911111111)
http://www.wikidata.org/entity/Q694,NL-ZH,Point(4.666666666 52.0)
http://www.wikidata.org/entity/Q771,US-MA,Point(-71.8 42.3)
http://www.wikidata.org/entity/Q1093,NL-LI,Point(5.936111111 51.21)
http://www.wikidata.org/entity/Q1183,US-PR,Point(-66.5 18.25)
http://www.wikidata.org/entity/Q1201,DE-SL,Point(6.878377777 49.37715)
http://www.wikidata.org/entity/Q1204,US-IL,Point(-89.0 40.0)
http://www.wikidata.org/entity/Q1363,IN-TR,Point(91.28 23.84)
http://www.wikidata.org/entity/Q1489,MX-CMX,Point(-99.145555555 19.419444444)
http://www.wikidata.org/entity/Q1494,US-MS,Point(-90.0 33.0)
http://www.wikidata.org/entity/Q1499,IN-UT,Point(78.06 30.33)
http://www.wikidata.org/entity/Q1522,US-NM,Point(-106.0 34.0)
http://www.wikidata.org/entity/Q1749,RU-KGD,Point(21.416666666 54.8)
http://www.wikidata.org/entity/Q1759,RU-MUR,Point(34.566666666 68.033333333)
http://www.wikidata.org/entity/Q1866,ID-BB,Point(106.116666666 -2.133333333)
http://www.wikidata.org/entity/Q1890,ID-BE,Point(102.25 -3.8)
http://www.wikidata.org/entity/Q2003,CA-NL,Point(-60.0 53.0)
http://www.wikidata.org/entity/Q2032,LU-L,Point(6.066666666 49.616666666)
http://www.wikidata.org/entity/Q2073,RU-KO,Point(54.466666666 64.283333333)
http://www.wikidata.org/entity/Q2109,CL-AP,Point(-70.314444 -18.475)
http://www.wikidata.org/entity/Q2114,CL-TA,Point(-69.333333333 -20.283333333)
http://www.wikidata.org/entity/Q2471,YE-SA,Point(44.2 15.35)
http://www.wikidata.org/entity/Q2810,RU-BRY,Point(33.4 52.95)
http://www.wikidata.org/entity/Q3093,FR-02,Point(3.5 49.5)
http://www.wikidata.org/entity/Q3240,FR-13,Point(5.083333333 43.5)
http://www.wikidata.org/entity/Q3329,RU-BEL,Point(37.45 50.766666666)
http://www.wikidata.org/entity/Q3377,FR-28,Point(1.416666666 48.333333333)
http://www.wikidata.org/entity/Q3586,ID-JI,Point(112.952777777 -7.939166666)
http://www.wikidata.org/entity/Q3680,RU-KDA,Point(39.433333333 45.366666666)
http://www.wikidata.org/entity/Q3769,FR-GF,Point(-52.99994 3.99886)
http://www.wikidata.org/entity/Q3838,CD-KN,Point(15.313888888 -4.331666666)
http://www.wikidata.org/entity/Q3908,ES-GA,Point(-8.133333333 43.05)
http://www.wikidata.org/entity/Q3941,RU-AST,Point(47.233333333 47.233333333)
http://www.wikidata.org/entity/Q5093,ID-MA,Point(128.17 -3.705)
http://www.wikidata.org/entity/Q5693,FI-04,Point(27.5 62.0)
http://www.wikidata.org/entity/Q5710,RU-BA,Point(56.266666666 54.466666666)
http://www.wikidata.org/entity/Q5711,FI-18,Point(24.5 60.25)
http://www.wikidata.org/entity/Q5813,ES-CN,Point(-15.749 28.536)
http://www.wikidata.org/entity/Q6543,RU-KK,Point(90.0 53.5)
http://www.wikidata.org/entity/Q7194,ES-GI,Point(2.666666666 42.166666666)
http://www.wikidata.org/entity/Q7788,RU-KHA,Point(136.833333333 54.8)
http://www.wikidata.org/entity/Q7971,RU-MAG,Point(153.7 62.9)
http://www.wikidata.org/entity/Q9133,NP-GA,Point(84.5 28.166666666)
http://www.wikidata.org/entity/Q9172,NP-LU,Point(83.5 27.75)
http://www.wikidata.org/entity/Q9337,BE-VLG,Point(4.5 51.0)
http://www.wikidata.org/entity/Q12517,FR-32,Point(0.583333333 43.65)
http://www.wikidata.org/entity/Q12569,FR-42,Point(4.224597222 45.753805555)
http://www.wikidata.org/entity/Q12584,FR-49,Point(-0.6 47.45)
http://www.wikidata.org/entity/Q12620,FR-53,Point(-0.666666666 48.166666666)
http://www.wikidata.org/entity/Q12661,FR-59,Point(3.032222222 50.621388888)
http://www.wikidata.org/entity/Q12700,FR-65,Point(0.133333333 43.2)
http://www.wikidata.org/entity/Q12741,PH-ILS,Point(120.583333333 17.333333333)
http://www.wikidata.org/entity/Q12746,CH-SG,Point(9.166666666 47.333333333)
http://www.wikidata.org/entity/Q12751,FR-74,Point(6.333333333 46.0)
http://www.wikidata.org/entity/Q12770,FR-80,Point(2.416666666 49.883333333)
http://www.wikidata.org/entity/Q12779,FR-82,Point(1.333333333 44.0)
http://www.wikidata.org/entity/Q12804,FR-86,Point(0.340555555 46.581388888)
http://www.wikidata.org/entity/Q13669,PH-07,Point(123.5 10.0)
http://www.wikidata.org/entity/Q13737,PH-BAS,Point(122.033333333 6.566666666)
http://www.wikidata.org/entity/Q13744,PH-BTG,Point(121.0 13.833333333)
http://www.wikidata.org/entity/Q13752,PH-BOH,Point(124.216666666 9.883333333)
http://www.wikidata.org/entity/Q13794,PH-DAS,Point(125.5 6.333333333)
http://www.wikidata.org/entity/Q13873,PH-QUI,Point(121.583333333 16.283333333)
http://www.wikidata.org/entity/Q13876,PH-WSA,Point(125.0 11.833333333)
http://www.wikidata.org/entity/Q13900,PH-ZAS,Point(123.25 7.833333333)
http://www.wikidata.org/entity/Q13904,ES-L,Point(1.166666666 42.0)
http://www.wikidata.org/entity/Q13917,FR-IDF,Point(2.3176 48.8522)
http://www.wikidata.org/entity/Q15091,IT-CN,Point(7.55 44.383333333)
http://www.wikidata.org/entity/Q15877,SI-040,Point(13.660405031 45.539545223)
http://www.wikidata.org/entity/Q16114,IT-AN,Point(13.516666666 43.616666666)
http://www.wikidata.org/entity/Q16148,IT-BR,Point(17.945833333 40.638333333)
http://www.wikidata.org/entity/Q16153,IT-CE,Point(14.216666666 41.166666666)
http://www.wikidata.org/entity/Q16163,IT-CR,Point(10.033333333 45.133333333)
http://www.wikidata.org/entity/Q16189,IT-AQ,Point(13.3945 42.4228)
http://www.wikidata.org/entity/Q16204,IT-MN,Point(10.8 45.166666666)
http://www.wikidata.org/entity/Q16210,IT-MB,Point(9.266666666 45.583333333)
http://www.wikidata.org/entity/Q16216,IT-NO,Point(8.616666666 45.45)
http://www.wikidata.org/entity/Q16223,IT-OG,Point(9.55 39.866638888)
http://www.wikidata.org/entity/Q16240,IT-PG,Point(12.3888 43.1121)
http://www.wikidata.org/entity/Q16243,IT-PC,Point(9.7 45.05)
http://www.wikidata.org/entity/Q16272,IT-SS,Point(8.559167 40.726667)
http://www.wikidata.org/entity/Q16284,IT-TE,Point(13.7025 42.658611111)
http://www.wikidata.org/entity/Q16293,IT-TS,Point(13.804166666 45.636111111)
http://www.wikidata.org/entity/Q16294,IT-UD,Point(13.233333333 46.066666666)
http://www.wikidata.org/entity/Q16299,IT-VA,Point(8.833333333 45.816666666)
http://www.wikidata.org/entity/Q16394,FR-I,Point(6.0 47.0)
http://www.wikidata.org/entity/Q16967,CN-ZJ,Point(120.15 30.266666666)
http://www.wikidata.org/entity/Q18256,BA-05,Point(18.986111111 43.666666666)
http://www.wikidata.org/entity/Q2410306,37,Point(44.81083333 41.46361111)
http://www.wikidata.org/entity/Q2723419,PY-ASU,Point(-57.611111111 -25.293888888)
http://www.wikidata.org/entity/Q3678586,IT-RC,Point(15.6619 38.1114)
http://www.wikidata.org/entity/Q3678587,IT-VE,Point(12.3319 45.4397)
http://www.wikidata.org/entity/Q18241854,IT-BA,Point(16.8667 41.1253)
http://www.wikidata.org/entity/Q20991250,IT-ME,Point(15.55 38.183333333)
http://www.wikidata.org/entity/Q26160405,IT-RG,Point(14.730555555 36.925)
http://www.wikidata.org/entity/Q26160408,IT-EN,Point(14.266666666 37.566666666)
http://www.wikidata.org/entity/Q26160410,IT-CL,Point(14.04583333 37.48888889)
http://www.wikidata.org/entity/Q30059027,SL,
http://www.wikidata.org/entity/Q21241814,GB-NYK,Point(-1.3 54.2)
http://www.wikidata.org/entity/Q21269047,GB-LIN,Point(-0.183333333 53.066666666)
http://www.wikidata.org/entity/Q21272241,GB-ESS,Point(0.583333333 51.75)
http://www.wikidata.org/entity/Q20652586,MA-09,Point(-8.48 30.08)
http://www.wikidata.org/entity/Q7525,UA-40,Point(33.533333333 44.6)
http://www.wikidata.org/entity/Q9365,TJ-DU,Point(68.786388888 38.573055555)
http://www.wikidata.org/entity/Q15925,SI-129,Point(15.05 46.15)
http://www.wikidata.org/entity/Q15932,SI-146,Point(14.10583 46.2125)
http://www.wikidata.org/entity/Q15932,SI-146,Point(14.15 46.21666667)
http://www.wikidata.org/entity/Q16580,UY-CO,Point(-57.683333333 -34.116666666)
http://www.wikidata.org/entity/Q16587,UY-TA,Point(-55.755555555 -32.114722222)
http://www.wikidata.org/entity/Q16595,UY-SA,Point(-57.036666666 -31.315833333)
http://www.wikidata.org/entity/Q19038,GE-GU,Point(42.2 41.966666666)
http://www.wikidata.org/entity/Q20937,KR-41,Point(127.25 37.5)
http://www.wikidata.org/entity/Q22424,IN-PB,Point(75.466666666 30.766666666)
http://www.wikidata.org/entity/Q23066,GB-CMA,Point(-3.25 54.5)
http://www.wikidata.org/entity/Q23086,GB-NYK,Point(-1.333333333 54.166666666)
http://www.wikidata.org/entity/Q23090,GB-LIN,Point(-0.183333333 53.066666666)
http://www.wikidata.org/entity/Q23169,GB-OXF,Point(-1.28 51.75)
http://www.wikidata.org/entity/Q23240,GB-ESS,Point(0.583333333 51.75)
http://www.wikidata.org/entity/Q23533,VN-24,Point(106.333333333 17.5)
http://www.wikidata.org/entity/Q23800,MT-60,Point(14.5125 35.897777777)
http://www.wikidata.org/entity/Q24272,AD-05,Point(1.533055555 42.555)
http://www.wikidata.org/entity/Q24286,AD-08,Point(1.540833 42.508889)
http://www.wikidata.org/entity/Q25931,LY-BU,Point(24.0 30.0)
http://www.wikidata.org/entity/Q26061,DK-83,Point(9.666666666 55.333333333)
http://www.wikidata.org/entity/Q26161,LY-NQ,Point(11.894722222 32.594722222)
