iso_3166_code,lat,long
37,41.46361111,44.81083333
98630,NaN,NaN
AD-02,42.566378,1.60094
AD-03,42.536111,1.582778
AD-04,42.544166666,1.516388888
AD-05,42.555,1.533055555
AD-06,42.47,1.49
AD-07,42.5015,1.4980466666666667
AD-08,42.508889,1.540833
AE-AJ,25.4,55.5
AE-AZ,23.5237,53.876953
AE-DU,25.264444444,55.311666666
AE-FU,25.133333,56.333333
AE-RK,25.783333333,55.95
AE-SH,25.35,55.433333
AE-UQ,25.55,55.55
AF-BAL,36.7,67.116666666
AF-BAM,34.75,67.25
AF-BDG,35,63.75
AF-BDS,38,71
AF-BGL,35.87,68.93
AF-DAY,33.75,66.25
AF-FRA,32.5,63.5
AF-FYB,36,65
AF-GHA,33.5,68
AF-GHO,34.51972222,65.255
AF-HEL,31,64
AF-HER,34,62
AF-JOW,36.75,66
AF-KAB,34.56,69.22
AF-KAN,31,65.5
AF-KAP,35,69.7
AF-KDZ,36.8,68.8
AF-KHO,33.4,69.9
AF-KNR,35,71.2
AF-LAG,34.66,70.2
AF-LOG,34,69.2
AF-NAN,34.25,70.5
AF-NIM,31,62.5
AF-NUR,35.25,70.75
AF-PAN,35.266666666,69.466663888
AF-PAR,35,69
AF-PIA,33.6,69.5
AF-PKA,32.5,68.8
AF-SAM,36.25,68.0167
AF-SAR,35.6,66.3
AF-TAK,36.7,69.8
AF-URU,32.8,66
AF-WAR,34.4,68.4
AF-ZAB,32.1,67.1
AG-03,17.116666666,-61.8
AG-04,17.116666666,-61.833333333
AG-05,17.033333333,-61.883333333
AG-06,17.016666666,-61.783333333
AG-07,17.1,-61.766666666
AG-08,17.083333333,-61.7
AG-10,17.616666666,-61.8
AG-11,16.938646,-62.346039
AL-01,40.633333333,20.083333333
AL-02,41.5,19.583333333
AL-03,41,20.166666666
AL-04,40.75,19.583333333
AL-05,40.166666666,20.166666666
AL-06,40.583333333,20.666666666
AL-07,42.166666666,20.333333333
AL-08,41.75,19.833333333
AL-09,41.583333333,20.25
AL-10,42.166666666,19.75
AL-11,41.25,19.75
AL-12,40.166666666,19.75
AL-BR,40.666666666,19.95
AL-BU,41.466666666,20.35
AL-DI,41.716666666,20.35
AL-DL,39.966666666,20.066666666
AL-DR,41.4,19.516666666
AL-DV,40.583333333,20.933333333
AL-EL,41.05,20.066666666
AL-ER,40.3,20.633333333
AL-FR,40.7,19.533333333
AL-GJ,40.066666666,20.2
AL-GR,40.833333333,20.25
AL-HA,42.183333333,20.383333333
AL-KA,41.135,19.599444444
AL-KB,41.616666666,19.7
AL-KC,40.816666666,19.9
AL-KO,40.65,20.65
AL-KR,41.5166666665,19.741666666500002
AL-KU,41.966666666,20.416666666
AL-LB,41.183333333,20.4
AL-LE,41.816666666,19.683333333
AL-LU,40.933333333,19.616666666
AL-MK,40.566666666,19.75
AL-MM,42.35,19.583333333
AL-MR,41.8,19.983333333
AL-MT,41.566666666,20.016666666
AL-PG,40.916666666,20.583333333
AL-PQ,41.05,19.783333333
AL-PR,40.266666666,20.316666666
AL-PU,42.066666666,19.983333333
AL-SH,42.083333333,19.633333333
AL-SK,40.55,20.25
AL-SR,39.816666666,20.116666666
AL-TE,40.333333333,19.95
AL-TP,42.383333333,20.05
AL-TR,41.3,19.883333333
AL-VL,40.35,19.616666666
AM-AG,40.416666666,44.166666666
AM-AR,39.916666666,44.716666666
AM-AV,40.15,44.05
AM-ER,40.181388888,44.514444444
AM-GR,40.416666666,45.2
AM-KT,40.416666666,44.75
AM-LO,40.916666666,44.5
AM-SH,40.833333333,43.916666666
AM-SU,39.25,46.25
AM-TV,40.883333333,45.133333333
AM-VD,39.75,45.5
AO-BGO,-8.783333333,13.983333333
AO-BGU,-12.666666666,14.016666666
AO-BIE,-12.516666666,17.566666666
AO-CAB,-5.05,12.3
AO-CCU,-16.083333333,19.5
AO-CNN,-16.7,16.05
AO-CNO,-9.016666666,15.066666666
AO-CUS,-10.633333333,14.5
AO-HUA,-12.5,15.666666666
AO-HUI,-14.25,14.833333333
AO-LNO,-8.283333333,19.6
AO-LSU,-10.316666666,20.816666666
AO-LUA,-8.983,13.283
AO-MAL,-9.533333333,16.35
AO-MOX,-11.791666666,19.906111111
AO-NAM,-15.195277777,12.150833333
AO-UIG,-7.616666666,15.05
AO-ZAI,-6.266666666,14.233333333
AR-A,-24.783333333,-65.416666666
AR-B,-36.157222222,-60.569722222
AR-C,-34.599722222,-58.381944444
AR-D,-33.3,-66.35
AR-E,-32.0477,-60.281
AR-F,-29.433333333,-66.85
AR-G,-27.783333333,-64.266666666
AR-H,-27.451388888,-58.986666666
AR-J,-30.87,-68.98
AR-K,-28.466666666,-65.783333333
AR-L,-36.616666666,-64.283333333
AR-M,-32.890277777,-68.847222222
AR-N,-26.92,-54.52
AR-P,-26.183333333,-58.175
AR-Q,-38.951666666,-68.074444444
AR-R,-40.8,-63
AR-S,-33.722777777,-62.246111111
AR-T,-27,-65.5
AR-U,-43.3,-65.1
AR-V,-54.362,-67.638
AR-W,-28.66,-57.63
AR-X,-32,-64
AR-Y,-23.75,-65.5
AR-Z,-48.823889,-69.815
AT-1,47.5,16.416666666
AT-2,46.7525,13.8617
AT-3,48.333333333,15.75
AT-4,48.2,14
AT-5,47.766944444,13.364166666
AT-6,47.25,15.166666666
AT-7,47.266666666,11.4
AT-8,47.243611111,9.893888888
AT-9,48.20833,16.373064
AU-ACT,-35.45,148.980555555
AU-NSW,-32,147
